wind project name,article title,paragraph ID,code,quoted evidence,opposition or support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","Slowly but surely, but...president of Community Energy, Inc.",Infrastructure,wind-generating turbines are being erected atop Bald Mountain,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Generators and rotors will be...reseller of wind power produced,Economy,the company will add electricity generation to its established business as a reseller of wind power produced by others,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Supported by a multimillion-dollar...first venture into power generation.,Economy,Supported by a multimillion-dollar combination of private and public financing,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","The Bear Creek turbines and...roughly 2,000 feet above sea",Infrastructure,The Bear Creek turbines and a power substation occupy about 15 acres,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Community Energy co-owner Eric...before it's finished. Twelve Gamesa,Economy,the company will have $30 million to $40 million invested in the Bear Creek wind farm,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",The electricity will be carried...distributed through the power grid.,Infrastructure,The electricity will be carried from the turbines along underground cables,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",The turbines will pump out...buy the power for 20 years.,Economy,PPL EnergyPlus has agreed to buy the power for 20 years,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","That kind of deal, Alderfer...compared to a year ago.",Economy,current high prices of traditionally generated electricity make wind power more competitive,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Alderfer said there have been...staying high or rising further.,Economy,Alderfer is hoping to find buyers that will bet on prices staying high or rising further,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Since wind generation is not...unpredictable price swings.,Economy,protecting buyers from unpredictable price swings,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","For now, the company is...turbines in production by year",Economy,have all 12 turbines in production by year end,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Each tower is firmly tied...1.5 inches in diameter. Only,Infrastructure,Each tower is firmly tied to a 14-foot-diameter pedestal base,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",inches of the pedestal are...yards of reinforced concrete.,Infrastructure,is made with nearly 300 yards of reinforced concrete,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Each base will support a...closer than 130 feet to,Infrastructure,Each base will support a 267-foot-tall tower,neutral
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","Gamesa Eolica, the Spanish company...carbon-fiber blades, towers and nacelles",Economy,"The 204,000-square-foot factory, being built at the Cambria County Industrial Park near Ebensburg, will be Gamesa's first production facility in the United States.",support
