
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","Slowly but surely, but...president of Community Energy, Inc.",Infrastructure,wind-generating turbines are being erected atop Bald Mountain,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Generators and rotors will be...reseller of wind power produced,Sustainability and Climate Issues,power flows into the electric grid that serves seven states and the District of Columbia,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Supported by a multimillion-dollar...first venture into power generation.,Economy,Supported by a multimillion-dollar combination of private and public financing,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","The Bear Creek turbines and...2,000 feet above sea level.",Infrastructure,The Bear Creek turbines and a power substation occupy about 15 acres,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Community Energy co-owner Eric...before it's finished. Twelve Gamesa,Economy,the company will have $30 million to $40 million invested in the Bear Creek wind farm,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",The electricity will be carried...distributed through the power grid.,Infrastructure,The electricity will be carried from the turbines along underground cables,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",The turbines will pump out...power for 20 years.,Sustainability and Climate Issues,The turbines will pump out an average of 24 megawatts of electricity per hour,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","That kind of deal, Alderfer...compared to a year ago.",Economy,current high prices of traditionally generated electricity make wind power more competitive,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Alderfer said there have been...or rising further.,Economy,Alderfer is hoping to find buyers that will bet on prices staying high or rising further,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Since wind generation is not...unpredictable price swings.,Economy,protecting buyers from unpredictable price swings,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT","For now, the company is...production by year end.",Technological Skepticism/ Optimism,the company is hoping to conduct generating tests by Thanksgiving,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Each tower is firmly tied...1.5 inches in diameter.,Infrastructure,Each tower is firmly tied to a 14-foot-diameter pedestal base,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",inches of the pedestal are...yards of reinforced concrete.,Infrastructure,is made with nearly 300 yards of reinforced concrete,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'TOWERS OF POWER DRAWING NEAR / ELECTRICITY WILL BE PRODUCED BY THE GIANT",Each base will support a...135 feet to the ground.,Infrastructure,Each base will support a 267-foot-tall tower,neutral
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","Gamesa Eolica, the Spanish company...nacelles will be produced there.",Economy,"The 204,000-square-foot factory, being built at the Cambria County Industrial Park near Ebensburg, will be Gamesa's first production facility in the United States.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","In 2004, Gamesa ranked second...size being installed in Bear Creek.",Economy,"The Ebensburg facility, operating under the name Fiberblade LLC, is expected to employ 234 workers when up to full production in three years.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","The first production line will...begin by April, Gamesa executives have said.",Economy,"The first production line will open near the beginning of 2006, and will employ 100 workers.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep",Gamesa officials say the factory...market continues to grow.,Economy,"Gamesa officials say the factory will be able to support two more lines, if the wind-energy market continues to grow.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep",State funds of $9.3 million...cost more than $25 million.,Economy,"State funds of $9.3 million are helping to pay for the plant, expected to cost more than $25 million.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","Gamesa's U.S. operations, called...headquartered in Philadelphia.",Economy,"Gamesa's U.S. operations, called Gamesa Wind US, are headquartered in Philadelphia.",neutral
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep","A strong wind-energy market...build here, said Alberto Gros Isla, plant manager.",Economy,"A strong wind-energy market, boosted by the federal tax credit for wind production, influenced Gamesa's decision to build here, said Alberto Gros Isla, plant manager.",support
bear creek,"Staff and wire reports, 'SPANISH TURBINE MAKER BUILDING POWER PLANT IN PENNSYLVANIA', Times Leader, The (online), 11 Sep",In addition to making equipment...mostly in Europe.,Sustainability and Climate Issues,"In addition to making equipment, Gamesa generates electricity from wind energy by running wind farms, mostly in Europe.",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Last week a continuous...company and its partners.,Infrastructure,Their cargo was used to build the last of 12 mammoth pads for wind generators,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D","Wayne, Pa.-based Community...in long-term equity.",Economy,"The credit was restored a year ago, and the company announced Tuesday that it had lined up $50 million in financing.",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Executive Vice President Eric...its 10 year life.,Economy,the tax credit - 1.8 cents per kilowatt hour as long as electricity generation continues - would amount to $1.6 million next year,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D","When completed, the Bear...District of Columbia.",Sustainability and Climate Issues,"When completed, the Bear Creek wind park is expected to generate 24 megawatts of electricity per hour, enough to power approximately 8,700 homes.",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Blank sees little risk...level of breezes.,Technological Skepticism/ Optimism,There is no volatility in the cost of the power source - wind - and an analysis of four years' data shows a consistent level of breezes.,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Community Energy is so...commercial service.,Economy,Community Energy is so encouraged by the economic potential of wind generation that it is considering more farms in Pennsylvania.,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",The electricity will be...through the power grid.,Infrastructure,The electricity will be carried from the turbines along underground cables to a new power substation,neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",The original plan for...edge on this project.,Technological Skepticism/ Optimism,"The 2-megawatt turbines turn more slowly and power generation starts at lower wind speeds, he said. ""That's the technology edge on this project.""",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",While new to the...outside Johnstown.,Technological Skepticism/ Optimism,"While new to the United States, similar turbines have been used extensively in Europe, Blank said.",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",The Bear Creek turbines...more turbines.,Economy,He projected the total investment at $30 million to $40 million.,support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D","Aside from generating clean...on the project, Lillion said.",Economy,"Aside from generating clean energy, the project has created a number of construction jobs and will employ up to three full-time maintenance workers, Alderfer said.",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Another project lags A...for all the permits.,Legality and Property Rights,"""We're still doing all the due diligence that we have to do for all the permits.""",neutral
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D","That project, on former...rattlesnake habitat.",Threat to Wildlife,He planned this week to accompany a researcher looking for rattlesnake habitat.,opposition
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Concerns were raised about...significant adverse impact.,Threat to Wildlife,"Concerns were raised about the Bald Mountain farm's effect on wildlife, particularly birds that might be killed flying into turbine blades.",opposition
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D","Once they begin commercial...the money.""",Economy,"Once they begin commercial operation, the wind farms will provide a substantial revenue boost to Bear Creek Township",support
bear creek,"RON BARTIZEK rbartizek@leader.net, 'WIND POWER PROJECT GETS OFF THE GROUND', Times Leader, The (online), 11 Sep 2005 1D",Benkoski says critics do...15 feet wide.,Future and/or Character of the Community,"Benkoski says critics do not understand the wind farms. ""When they're done, the roadways and sites must be reseeded,"" he said.",support
bear creek,"'CRITICS OF BEAR CREEK WIND TOWERS ARE BEING HYPOCRITES', Times Leader, The (online), 26 Jun 2005 4B","I agree with Casey Jones'...generations even, to come.",Sustainability and Climate Issues,I have said for some time that they would eventually become tourist attractions akin to light houses.,support
bear creek,"'CRITICS OF BEAR CREEK WIND TOWERS ARE BEING HYPOCRITES', Times Leader, The (online), 26 Jun 2005 4B",Isn't it interesting that the...areas where said towers are,Sustainability and Climate Issues,"Isn't it interesting that the same people who run around harping about our need for alternative sources of energy, including wind power, are also the first in line to deride the placement of wind towers?",support
bear creek,"'CRITICS OF BEAR CREEK WIND TOWERS ARE BEING HYPOCRITES', Times Leader, The (online), 26 Jun 2005 4B","These threats include, but are...all the wind towers will",Threat to Wildlife,"A single ATV does far more damage in a few minutes, especially when run through wetlands or used to create trails leading to erosion, than all the wind towers will do in years.",support
bear creek,"'CRITICS OF BEAR CREEK WIND TOWERS ARE BEING HYPOCRITES', Times Leader, The (online), 26 Jun 2005 4B","Where were these environmental crusaders...producing for many years, generations",Technological Skepticism/Optimism,"Before you know it these towers will become this generation's coal breakers, obsolete technology left to rust. At least the wind towers will continue producing for many years, generations even, to come.",support
bear creek,"Christina Gostomski Of The Morning Call, 'Wind energy catches on at colleges ** Lehigh looks to join list of schools diversifying",A gust of student support...power sources.,Sustainability and Climate Issues,"College officials say supporting the fledgling wind industry will help lower wind energy prices, reduce the country's reliance on other types of power that emit greenhouse gases, and help create new jobs.",support
bear creek,"Christina Gostomski Of The Morning Call, 'Wind energy catches on at colleges ** Lehigh looks to join list of schools diversifying","At Lehigh, the drive for...supporting the plan.",Sustainability and Climate Issues,"""This is important for the environment. A lot of universities are already doing it, and I thought it was time Lehigh caught up,"" he said.",support
bear creek,"Christina Gostomski Of The Morning Call, 'Wind energy catches on at colleges ** Lehigh looks to join list of schools diversifying","Those reasons are echoed by...gain a foothold.""",Economy,"""You pay a little more, but you help the Pennsylvania economy by helping a new industry gain a foothold.""",support
bear creek,"Christina Gostomski Of The Morning Call, 'Wind energy catches on at colleges ** Lehigh looks to join list of schools diversifying","The more consumers who agree...80 percent, according",Economy,"Over 20 years, the cost of electricity from utility-scale wind systems has dropped by more than 80 percent, according to the American Wind Energy Association.",support
bear creek,"Christina Gostomski Of The Morning Call, 'Wind energy catches on at colleges ** Lehigh looks to join list of schools diversifying","In the early 1980s, when...to consumers.",Economy,"Wind energy typically costs one to two cents more per kilowatt hour than other forms of energy, Copleman said.",neutral
