county_fips,state,county_name,population,democrat_votes,republican_votes,other_votes,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,median_income (USD),unemployment_rate,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes
56041,WYOMING,UINTA,20450,1591,7496,9459,22.11,9.51,5.85,17.22,5.19,0.0,0.0,0.0,0.0,"42,854",6.4,1,0,0,0,0,0,1
56033,WYOMING,SHERIDAN,30921,4043,11843,16546,129.65,49.69,35.16,85.02,5.72,0.0,0.0,0.0,0.0,"61,543",5.0,1,0,0,0,0,0,1
56029,WYOMING,PARK,29624,3410,12813,16815,107.44,42.61,29.01,75.08,6.91,0.0,0.0,0.0,0.0,"59,827",5.4,1,0,0,0,0,0,1
56001,WYOMING,ALBANY,37066,9092,8579,18744,92.24,20.44,24.99,61.22,6.73,0.0,0.0,0.0,0.15,"43,148",3.8,1,0,1,0,0,0,2
55141,WISCONSIN,WOOD,74207,16365,24308,41298,255.42,35.21,69.3,163.11,6.64,0.0,0.0,0.0,0.0,"50,929",6.8,1,0,0,0,0,0,1
55139,WISCONSIN,WINNEBAGO,171730,44060,47796,94032,207.32,44.55,56.34,135.77,4.73,0.1,0.0,0.03,1.38,"50,840",5.6,2,3,0,0,0,0,5
55135,WISCONSIN,WAUPACA,51812,9703,18952,29130,130.53,47.76,35.13,84.56,7.63,0.0,0.0,0.0,0.0,"49,711",5.6,0,1,0,0,0,0,1
55117,WISCONSIN,SHEBOYGAN,118034,27101,37609,66011,231.95,45.98,63.21,151.52,5.29,0.0,0.0,0.02,0.24,"55,616",5.8,1,0,0,0,0,0,1
55111,WISCONSIN,SAUK,65763,18108,17493,36203,207.44,42.46,55.5,134.9,1.59,0.0,0.0,0.0,0.0,"55,166",7.7,2,0,0,0,0,1,3
55109,WISCONSIN,ST. CROIX,93536,23190,32199,56707,226.11,43.63,61.26,145.04,1.44,0.0,0.0,0.0,0.0,"59,602",7.2,0,0,1,0,0,0,1
55105,WISCONSIN,ROCK,163687,46658,37138,85360,125.61,30.71,33.9,84.72,5.24,0.06,0.0,0.0,1.45,"48,836",7.3,3,3,0,1,0,3,10
55093,WISCONSIN,PIERCE,42212,9796,12815,23317,170.72,40.75,46.41,119.19,1.08,0.0,0.0,0.0,0.0,"48,775",7.1,1,0,0,0,0,0,1
55089,WISCONSIN,OZAUKEE,91503,26517,33912,61486,322.86,49.7,87.78,207.01,1.68,0.0,0.0,0.0,0.0,"87,395",5.5,1,0,0,0,0,0,1
