county_fips,state,county_name,population,democrat_votes,republican_votes,other_votes,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,median_income (USD),unemployment_rate,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes
1001,ALABAMA,AUTAUGA,58805,7503,19838,27770,18.69,8.42,4.89,17.84,45.67,0.0,0.0,0.0,0.0,"46,814",2.8,,,,,,,
1003,ALABAMA,BALDWIN,231767,24578,83544,109679,150.68,37.03,40.8,102.01,31.26,0.0,0.0,0.0,0.0,"50,953",2.9,,,,,,,
1005,ALABAMA,BARBOUR,25223,4816,5622,10518,104.99,33.51,27.99,78.62,41.74,0.0,0.0,0.0,0.0,"37,850",5.5,,,,,,,
1007,ALABAMA,BIBB,22293,1986,7525,9595,0.09,3.81,0.0,4.84,45.61,0.0,0.0,0.0,0.0,"34,300",3.4,,,,,,,
1009,ALABAMA,BLOUNT,59134,2640,24711,27588,38.92,4.51,10.47,27.73,51.24,0.0,0.0,0.0,0.0,"38,808",2.4,,,,,,,
1011,ALABAMA,BULLOCK,10357,3446,1146,4613,13.96,16.17,3.03,9.0,24.98,0.0,0.0,0.0,0.0,"31,944",3.9,,,,,,,
1013,ALABAMA,BUTLER,19051,3965,5458,9488,7.07,13.1,1.5,15.63,65.46,0.0,0.0,0.0,0.0,"39,988",5.1,,,,,,,
1015,ALABAMA,CALHOUN,116441,15216,35101,50983,32.76,13.9,8.91,34.11,54.67,0.0,0.0,0.0,0.32,"40,195",4.0,,,,,,,
1017,ALABAMA,CHAMBERS,34772,6365,8753,15284,9.28,4.55,2.28,7.79,46.56,0.0,0.0,0.0,0.0,"38,508",3.6,,,,,,,
1019,ALABAMA,CHEROKEE,24971,1624,10583,12301,2.47,0.1,0.3,2.46,49.9,0.0,0.0,0.0,0.0,"37,869",2.5,,,,,,,
1021,ALABAMA,CHILTON,45014,3073,16085,19310,22.66,6.05,5.88,23.58,60.89,0.0,0.0,0.0,0.0,"38,778",2.8,,,,,,,
1023,ALABAMA,CHOCTAW,12665,3127,4296,7464,6.7,10.33,1.53,5.15,59.97,0.0,0.0,0.0,0.0,"42,231",4.3,,,,,,,
1025,ALABAMA,CLARKE,23087,5755,7324,13135,16.4,11.08,3.0,11.53,88.85,0.0,0.0,0.0,0.0,"40,822",5.8,,,,,,,
