state,county_fips,county,median_income (USD),unemployment_rate,,,
Alabama,01001,"Autauga County, AL","46,814",2.8,,,
Alabama,01003,"Baldwin County, AL","50,953",2.9,,,
Alabama,01005,"Barbour County, AL","37,850",5.5,,,
Alabama,01007,"Bibb County, AL","34,300",3.4,,,
Alabama,01009,"Blount County, AL","38,808",2.4,,,
Alabama,01011,"Bullock County, AL","31,944",3.9,,,
Alabama,01013,"Butler County, AL","39,988",5.1,,,
Alabama,01015,"Calhoun County, AL","40,195",4.0,,,
Alabama,01017,"Chambers County, AL","38,508",3.6,,,
Alabama,01019,"Cherokee County, AL","37,869",2.5,,,
Alabama,01021,"Chilton County, AL","38,778",2.8,,,
Alabama,01023,"Choctaw County, AL","42,231",4.3,,,
Alabama,01025,"Clarke County, AL","40,822",5.8,,,
Alabama,01027,"Clay County, AL","37,179",2.7,,,
Alabama,01029,"Cleburne County, AL","37,734",2.6,,,
Alabama,01031,"Coffee County, AL","45,262",2.8,,,
Alabama,01033,"Colbert County, AL","41,941",3.9,,,
Alabama,01035,"Conecuh County, AL","36,908",4.7,,,
Alabama,01037,"Coosa County, AL","34,683",3.0,,,
Alabama,01039,"Covington County, AL","37,930",3.0,,,
Alabama,01041,"Crenshaw County, AL","38,161",3.3,,,
Alabama,01043,"Cullman County, AL","42,659",2.3,,,
Alabama,01045,"Dale County, AL","40,111",3.1,,,
Alabama,01047,"Dallas County, AL","41,195",7.1,,,
Alabama,01049,"DeKalb County, AL","35,100",2.5,,,
Alabama,01051,"Elmore County, AL","47,270",2.7,,,
Alabama,01053,"Escambia County, AL","37,137",4.0,,,
Alabama,01055,"Etowah County, AL","39,852",4.0,,,
Alabama,01057,"Fayette County, AL","38,001",3.0,,,
Alabama,01059,"Franklin County, AL","37,362",2.5,,,
Alabama,01061,"Geneva County, AL","38,358",2.8,,,
Alabama,01063,"Greene County, AL","35,992",6.5,,,
Alabama,01065,"Hale County, AL","41,190",5.5,,,
Alabama,01067,"Henry County, AL","45,409",3.1,,,
Alabama,01069,"Houston County, AL","47,072",3.3,,,
Alabama,01071,"Jackson County, AL","40,089",2.8,,,
Alabama,01073,"Jefferson County, AL","58,424",3.5,,,
Alabama,01075,"Lamar County, AL","37,161",3.0,,,
Alabama,01077,"Lauderdale County, AL","40,729",3.1,,,
