FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,total_adh
48301,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15005,82,24.39,1.22,0.0,0.0,18.29,0.0,0.0,0.0,0.0,43.9
48269,265,0.0,0.0,0.0,75.47,376.98,0.0,0.0,0.0,0.0,452.45000000000005
48261,350,63.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14
31117,399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31009,431,0.0,23.9,0.0,34.8,0.0,0.0,0.0,0.0,0.0,58.699999999999996
31005,434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30069,496,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04
48311,600,33.33,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,54.83
31115,607,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,3.46
31075,611,25.69,7.03,0.0,16.37,0.0,0.0,0.0,0.0,0.0,49.09
48033,631,0.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0,0.0,43.42
35021,657,75.34,0.0,0.0,0.0,10.5,0.0,0.0,0.0,70.47,156.31
2282,662,18.13,1.66,0.0,0.0,9.52,0.0,0.0,0.0,0.0,29.31
31171,669,18.24,16.74,0.0,0.0,9.72,0.0,0.0,0.0,0.0,44.699999999999996
31007,674,0.0,2.82,0.0,14.84,0.0,0.0,0.0,0.0,0.0,17.66
8111,705,3.4,25.82,0.0,0.0,2.27,0.0,0.0,0.0,0.0,31.49
38087,706,8.64,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.060000000000002
31091,711,19.97,3.09,0.0,21.1,3.09,0.0,0.0,0.0,0.0,47.25
31113,716,81.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.42
32009,729,10.29,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,13.45
48263,753,6.64,0.0,0.0,0.0,75.96000000000001,0.0,0.0,0.0,0.0,82.60000000000001
48443,760,47.63,0.0,0.0,19.74,33.82,0.0,0.0,0.0,0.0,101.19
30103,762,25.72,6.96,0.0,0.0,4.46,0.0,0.0,0.0,0.0,37.14
31103,769,0.0,0.0,0.0,36.41,8.06,0.0,0.0,0.0,0.0,44.47
31183,774,8.91,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,10.46
8053,788,0.0,14.72,0.0,0.0,10.91,0.0,0.0,0.0,0.0,25.630000000000003
16033,790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30037,823,5.1,3.89,0.0,12.39,4.25,0.0,0.0,0.0,0.0,25.630000000000003
48393,827,0.0,0.0,0.0,0.0,46.19,0.0,0.0,0.0,0.0,46.19
2060,844,1.78,0.0,4.74,11.85,1.54,0.0,0.0,0.0,0.0,19.91
31085,856,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
8079,865,10.87,18.49,0.0,0.0,12.6,0.0,0.0,0.0,0.0,41.96
46075,917,40.57,0.0,0.0,13.09,0.0,0.0,0.0,0.0,0.0,53.66
49009,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30109,937,27.75,10.46,0.0,12.81,2.99,0.0,0.0,0.0,0.0,54.010000000000005
38007,945,3.39,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73
48345,1063,7.15,0.0,0.0,28.22,19.48,0.0,0.0,0.0,0.0,54.849999999999994
16025,1077,4.55,0.0,0.0,37.14,0.0,0.0,0.0,0.0,0.0,41.69
30079,1088,4.6,16.54,0.0,0.0,1.29,0.0,0.0,0.0,0.0,22.43
48155,1095,5.57,0.0,0.0,0.0,36.980000000000004,0.0,0.0,0.0,0.0,42.550000000000004
48173,1116,65.32,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,72.49
31165,1135,11.54,0.0,0.0,13.22,0.0,0.0,0.0,0.0,0.0,24.759999999999998
30033,1173,10.66,6.74,0.0,0.0,12.95,0.0,0.0,0.0,0.0,30.349999999999998
6003,1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,1240,3.87,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,5.08
48433,1245,13.65,0.0,0.0,48.19,62.97,0.0,0.0,0.0,0.0,124.81
31149,1262,7.92,17.12,0.0,4.75,0.63,0.0,0.0,0.0,0.0,30.419999999999998
46069,1262,17.43,39.38,0.0,19.02,7.61,0.0,0.0,0.0,0.0,83.44
38083,1265,6.48,28.3,0.0,0.0,5.53,0.0,0.0,0.0,0.0,40.31
20071,1284,8.57,2.41,0.0,0.0,10.28,0.0,0.0,0.0,0.0,21.259999999999998
46063,1311,26.54,31.650000000000002,0.0,0.0,0.76,0.0,0.0,0.0,0.0,58.949999999999996
28055,1338,0.0,0.0,0.0,0.0,9.19,0.0,0.0,0.0,0.0,9.19
