state,county,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes,county_fips
Wyoming,Uinta,1,0,0,0,0,0,1,56041
Wyoming,Sheridan,1,0,0,0,0,0,1,56033
Wyoming,Park,1,0,0,0,0,0,1,56029
Wyoming,Albany,1,0,1,0,0,0,2,56001
Wisconsin,Wood,1,0,0,0,0,0,1,55141
Wisconsin,Winnebago,2,3,0,0,0,0,5,55139
Wisconsin,Waupaca,0,1,0,0,0,0,1,55135
Wisconsin,Sheboygan,1,0,0,0,0,0,1,55117
Wisconsin,Sauk,2,0,0,0,0,1,3,55111
Wisconsin,St. Croix,0,0,1,0,0,0,1,55109
Wisconsin,Rock,3,3,0,1,0,3,10,55105
Wisconsin,Pierce,1,0,0,0,0,0,1,55093
Wisconsin,Ozaukee,1,0,0,0,0,0,1,55089
Wisconsin,Outagamie,2,1,0,2,0,0,5,55087
Wisconsin,Oneida,1,0,0,0,0,0,1,55085
Wisconsin,Monroe,1,0,0,0,0,0,1,55081
Wisconsin,Milwaukee,3,1,0,0,0,0,4,55079
Wisconsin,Manitowoc,1,0,0,0,0,0,1,55071
Wisconsin,La Crosse,0,2,0,0,1,0,3,55063
Wisconsin,Jefferson,1,0,0,0,0,0,1,55055
Wisconsin,Iowa,1,0,0,0,0,0,1,55049
Wisconsin,Green,4,0,0,0,0,0,4,55045
Wisconsin,Grant,1,0,0,0,0,0,1,55043
Wisconsin,Fond du Lac,0,3,0,1,0,0,4,55039
Wisconsin,Douglas,1,0,0,0,0,0,1,55031
Wisconsin,Dodge,5,0,1,0,0,0,6,55027
Wisconsin,Dane,5,1,3,0,0,0,9,55025
Wisconsin,Columbia,0,2,0,0,0,0,2,55021
Wisconsin,Chippewa,0,0,0,0,1,0,1,55017
Wisconsin,Brown,1,1,0,0,0,0,2,55009
Wisconsin,Barron,2,0,0,0,0,2,4,55005
West Virginia,Wayne,0,2,0,0,0,0,2,54099
West Virginia,Putnam,1,0,0,0,0,0,1,54079
West Virginia,Ohio,3,1,0,0,0,0,4,54069
West Virginia,Monongalia,4,0,0,0,0,0,4,54061
West Virginia,Mason,3,0,0,0,0,0,3,54053
West Virginia,Marshall,1,0,0,0,0,0,1,54051
West Virginia,Lewis,2,1,0,0,0,0,3,54041
West Virginia,Kanawha,0,1,0,1,0,0,2,54039
West Virginia,Hardy,0,0,0,0,1,0,1,54031
West Virginia,Hancock,2,0,0,1,0,0,3,54029
West Virginia,Greenbrier,0,0,1,0,0,0,1,54025
West Virginia,Cabell,2,0,1,0,0,0,3,54011
Washington,Yakima,7,0,0,0,0,0,7,53077
Washington,Whitman,2,0,1,0,0,0,3,53075
Washington,Whatcom,7,2,2,1,0,0,12,53073
Washington,Walla Walla,1,0,0,0,0,0,1,53071
Washington,Thurston,1,4,1,0,0,1,7,53067
Washington,Stevens,0,0,1,0,0,0,1,53065
Washington,Spokane,14,9,5,0,1,0,29,53063
Washington,Snohomish,13,7,2,0,0,0,22,53061
Washington,Skagit,5,0,0,0,0,0,5,53057
Washington,Pierce,12,2,0,0,0,0,14,53053
Washington,Pacific,0,0,0,0,0,1,1,53049
Washington,Okanogan,0,1,0,0,0,0,1,53047
Washington,Lewis,2,0,0,0,0,0,2,53041
Washington,Kittitas,1,0,0,0,0,0,1,53037
Washington,Kitsap,2,1,0,0,0,0,3,53035
Washington,King,236,45,98,5,6,14,404,53033
Washington,Island,2,0,0,0,0,0,2,53029
Washington,Grays Harbor,4,0,0,0,0,0,4,53027
Washington,Grant,9,0,0,0,0,0,9,53025
Washington,Cowlitz,0,0,2,2,0,0,4,53015
Washington,Clark,7,2,3,0,0,1,13,53011
Washington,Clallam,3,0,2,0,1,0,6,53009
Washington,Chelan,1,1,0,0,0,0,2,53007
Washington,Benton,1,1,0,0,0,0,2,53005
Virginia,Winchester,0,0,0,0,0,1,1,51840
Virginia,Virginia Beach,1,1,0,0,0,0,2,51810
Virginia,Suffolk,0,0,1,0,0,0,1,51800
Virginia,Roanoke,1,1,1,0,0,0,3,51770
Virginia,Richmond,5,0,2,0,0,0,7,51760
Virginia,Norfolk,3,0,0,0,0,0,3,51710
Virginia,Newport News,1,0,3,0,0,0,4,51700
Virginia,Lynchburg,1,0,0,0,0,0,1,51680
Virginia,Harrisonburg,1,0,0,0,0,0,1,51660
Virginia,Hampton,2,0,1,0,0,0,3,51650
Virginia,Fredericksburg,1,0,1,0,0,0,2,51630
Virginia,Franklin,2,0,0,0,0,0,2,51620
Virginia,Fairfax,27,8,3,1,0,0,39,51600
Virginia,Chesapeake,2,0,0,0,0,0,2,51550
Virginia,Charlottesville,2,0,1,0,0,0,3,51540
Virginia,Alexandria,2,1,2,0,0,0,5,51510
Virginia,Westmoreland,0,1,0,0,0,0,1,51193
Virginia,Washington,1,1,0,0,0,1,3,51191
Virginia,Tazewell,1,0,0,0,0,0,1,51185
Virginia,Stafford,4,0,0,0,0,0,4,51179
Virginia,Spotsylvania,1,0,0,1,0,0,2,51177
Virginia,Shenandoah,1,0,0,0,0,0,1,51171
Virginia,Rockingham,0,1,0,0,0,0,1,51165
Virginia,Roanoke,1,1,1,0,0,0,3,51161
Virginia,Richmond,5,0,2,0,0,0,7,51159
Virginia,Prince William,4,1,0,0,0,0,5,51153
Virginia,Prince George,2,0,0,0,0,0,2,51149
Virginia,Prince Edward,1,0,0,0,0,0,1,51147
Virginia,Pittsylvania,0,0,1,0,0,0,1,51143
Virginia,Page,0,0,1,0,0,0,1,51139
Virginia,Northampton,2,0,0,0,0,0,2,51131
Virginia,Nelson,0,0,1,0,0,0,1,51125
Virginia,Loudoun,15,3,3,1,1,1,24,51107
Virginia,Henrico,1,0,0,0,0,0,1,51087
Virginia,Hanover,1,0,0,0,0,0,1,51085
Virginia,Giles,0,0,1,0,0,0,1,51071
Virginia,Franklin,2,0,0,0,0,0,2,51067
Virginia,Fluvanna,1,0,1,0,0,0,2,51065
Virginia,Fairfax,27,8,3,1,0,0,39,51059
Virginia,Dinwiddie,1,2,0,0,0,0,3,51053
Virginia,Chesterfield,2,1,0,0,0,0,3,51041
Virginia,Charlotte,2,0,0,0,0,0,2,51037
Virginia,Campbell,1,0,0,0,0,0,1,51031
Virginia,Bedford,1,1,0,0,0,0,2,51019
Virginia,Arlington,8,4,1,0,0,0,13,51013
Virginia,Amherst,2,0,0,0,0,0,2,51009
Virginia,Amelia,0,0,1,0,0,0,1,51007
Virginia,Albemarle,1,0,1,0,0,0,2,51003
Virginia,Accomack,1,0,0,0,0,0,1,51001
Vermont,Windsor,1,0,1,0,0,0,2,50027
Vermont,Windham,0,0,0,0,0,1,1,50025
Vermont,Washington,4,0,0,0,0,0,4,50023
Vermont,Rutland,2,0,2,0,0,0,4,50021
Vermont,Orleans,1,0,1,0,0,0,2,50019
Vermont,Franklin,1,0,0,0,0,0,1,50011
Vermont,Chittenden,5,3,4,0,0,0,12,50007
Vermont,Bennington,3,1,1,0,0,0,5,50003
Utah,Weber,2,1,2,0,0,0,5,49057
Utah,Washington,0,1,0,0,0,0,1,49053
Utah,Salt Lake,7,2,1,0,0,0,10,49035
Utah,Grand,0,0,1,0,0,0,1,49019
Utah,Duchesne,1,0,0,0,0,0,1,49013
Utah,Davis,6,0,0,0,0,0,6,49011
Texas,Wise,1,0,0,1,0,0,2,48497
Texas,Wilson,3,0,0,0,0,0,3,48493
Texas,Williamson,7,3,3,3,0,0,16,48491
Texas,Wilbarger,4,0,0,0,0,0,4,48487
