county_fip,democrat_votes,republican_votes,other_votes
1001,7503,19838,27770
1003,24578,83544,109679
1005,4816,5622,10518
1007,1986,7525,9595
1009,2640,24711,27588
1011,3446,1146,4613
1013,3965,5458,9488
1015,15216,35101,50983
1017,6365,8753,15284
1019,1624,10583,12301
1021,3073,16085,19310
1023,3127,4296,7464
1025,5755,7324,13135
1027,1267,5601,6930
1029,675,6484,7227
1031,5076,16899,22275
1033,8343,19203,27886
1035,2966,3442,6441
1037,1796,3631,5479
1039,2721,14586,17430
1041,1700,4864,6617
1043,4478,36880,41851
1045,5170,14303,19738
1047,12230,5524,17864
1049,4281,24767,29356
1051,10367,30164,41030
1053,4918,10869,15910
1055,11567,35528,47728
1057,1395,7300,8766
1059,2086,10376,12578
1061,1595,10848,12545
1063,3884,875,4775
1065,4663,3192,7900
1067,2606,6607,9298
1069,12917,32618,46173
1071,3717,19670,23636
1073,181688,138843,325848
1075,978,6174,7193
1077,11915,31721,44339
1079,3562,12322,16031
1081,27860,42221,71449
1083,13672,34640,49235
1085,4972,1836,6835
1087,7108,1541,8723
1089,87286,102780,194767
1091,5488,5343,10900
1093,1463,12205,13807
1095,5943,33191,39655
1097,79474,101243,183164
1099,4455,6147,10668
1101,64529,33311,99139
1103,13234,39664,53722
1105,3860,1339,5230
1107,4022,5594,9668
1109,5636,8042,13841
1111,2203,8559,10837
1113,11228,9864,21329
1115,7744,36166,44441
1117,33268,79700,114950
1119,4648,1598,6291
1121,13138,22235,35663
1123,5859,14963,20991
1125,37765,51117,90172
1127,4834,26002,31170
1129,2258,6564,8876
1131,4048,1833,5903
1133,974,10195,11284
2001,3477,3511,7314
2002,2104,3674,6136
2003,1903,6076,8385
2004,5345,4690,10511
2005,4204,4077,8654
2006,3272,5770,9460
2007,2215,7027,9622
2008,1953,7618,9912
2009,2769,7787,10993
2010,2727,8081,11205
2011,3130,7096,10628
2012,2957,7893,11238
2013,2666,4652,7713
2014,4261,6714,11443
2015,2622,2671,5559
2016,4274,3516,8118
2017,4136,2810,7239
2018,4681,2760,7720
2019,3118,1975,5301
2020,4881,2383,7497
2021,5414,3690,9429
2022,4553,4684,9520
2023,3810,3655,7739
2024,4736,5378,10428
2025,4600,4407,9325
2026,4558,5243,10111
2027,4844,4324,9506
2028,6264,6162,12749
2029,2985,7464,10747
2030,2638,7180,10176
2031,5037,6971,12410
2032,3506,4440,8335
2033,7535,3059,10955
2034,5763,4543,10729
2035,5011,4769,10102
2036,3796,5114,9292
2037,2560,2358,5142
2038,3202,1737,5299
2039,3580,1939,5891
2040,2318,1994,4603
2099,373,59,433
4001,23293,11442,35172
4003,23732,35557,60442
4005,44698,27052,73272
4007,8943,18377,27662
4009,4034,10749,14995
4011,1182,2433,3685
4012,2236,5129,7458
4013,1040774,995665,2068144
4015,24831,78535,104668
4017,23383,27657,51767
4019,304981,207758,520397
4021,75106,107077,184974
4023,13138,6194,19556
4025,49602,91527,143221
4027,32210,36534,69881
5001,1818,4304,6292
5003,2125,5548,7926
5005,4635,15836,21007
5007,42249,73965,119912
5009,3064,13652,17114
5011,1214,2335,3654
5013,479,1636,2182
5015,4023,7424,11797
5017,2260,1752,4103
5019,3438,4616,8395
5021,962,4086,5183
5023,1988,10328,12680
5025,651,2867,3600
5027,2814,5500,8616
5029,2615,5694,8685
5031,11921,25558,38511
5033,4959,18607,24091
5035,8514,7333,16367
5037,1772,4946,6942
5039,963,1573,2649
5041,2016,1921,4164
5043,2426,4349,6908
5045,18347,34421,54428
5047,1300,5677,7129
5049,1035,3961,5119
5051,14045,29069,44199
5053,1268,6794,8200
5055,3058,12670,16100
5057,2138,4470,6848
5059,3082,9202,12557
5061,1340,3367,4834
5063,2806,11250,14512
5065,1021,4631,5810
5067,1365,3593,5091
5069,14981,9521,25158
5071,2283,6938,9498
5073,839,1757,2679
5075,1080,4569,5857
5077,1423,1286,2848
5079,1032,2729,3875
5081,1226,3715,5177
5083,1544,6441,8225
5085,6686,22884,30662
5087,1563,5658,7351
5089,1531,5783,7503
5091,4245,11920,16529
5093,4558,7296,12342
5095,1147,1545,2816
5097,731,3046,3873
5099,1076,2133,3358
5101,709,3192,3998
5103,3995,5294,9629
5105,1012,3479,4627
5107,3623,2417,6242
5109,644,3519,4246
5111,1424,5918,7521
5113,1246,7035,8490
5115,5772,18081,24432
5117,654,2786,3495
5119,101947,63687,169956
5121,1215,5355,6812
5123,3604,3242,7108
5125,16060,39556,56959
5127,483,2962,3551
5129,588,3365,4019
5131,14487,31198,47140
5133,1116,3884,5202
5135,1398,5938,7566
5137,1180,4616,5938
5139,5584,10478,16607
5141,1593,6034,7807
5143,43824,47504,94266
5145,5978,24182,30885
5147,856,1543,2476
5149,1284,5226,6741
6001,617659,136309,770070
6003,476,244,741
6005,8153,13585,22304
6007,50426,48730,102066
6009,10046,16518,27164
6011,3239,4559,7961
6013,416386,152877,581316
6015,4677,6461,11453
6017,51621,61838,116159
6019,193025,164464,364917
6021,3995,7063,11297
6023,44768,21770,68843
6025,34678,20847,56743
6027,4634,4620,9484
6029,133366,164484,305292
6031,18699,24072,43861
6033,14941,13123,28812
6035,2799,8970,11987
6037,3028885,1145530,4264365
6039,23168,29378,53732
6041,128288,24612,155830
6043,4088,5950,10280
6045,28782,13267,43340
6047,48991,39397,90554
6049,1150,3109,4343
6051,4013,2513,6738
6053,113953,46299,163923
6055,49817,20676,72150
6057,36359,26779,64750
6059,814009,676498,1522113
6061,106869,122488,235084
6063,4561,6445,11260
6065,528340,449144,997156
6067,440808,259405,718440
6069,17628,10590,28830
6071,455859,366257,841130
6073,964650,600094,1602143
6075,378156,56417,443553
6077,161137,121098,288492
6079,88310,67436,159714
6081,291496,75584,374251
6083,129963,65736,200339
6085,617967,214612,850741
6087,114246,26937,144837
